"DL_CH","SITE_name","CellName","LAT_SITE","LON_SITE","AZ","BW","RD","RD_Normal","separar","MME","MME_ID","lnBtsId","Cell_Id","TE","TM","ALT","PCI","TAC","RAC","rootSeqIndex","AdminCellState","E-UTRAN Avg PRB usage per TTI DL","E-UTRAN avg IP sched thp DL, QCI9","Average CQI","Avg UE distance","Distrito","REFARMING","actUlGrpHop"
2050,"THOR_FZ","THOR_FZ1",-11.9621,-77.0779,320,50,,0.0700,"|","MME_POOL","0",2331,6491,8,0,22,499,2050,1,"664","1",,,,,"LOS OLIVOS",,0
2050,"THOR_FZ","THOR_FZ2",-11.9621,-77.0779,90,50,,0.0700,"|","MME_POOL","0",2331,6492,8,0,22,498,2050,1,"689","1",,,,,"LOS OLIVOS",,0
2050,"THOR_FZ","THOR_FZ3",-11.9621,-77.0779,200,50,,0.0700,"|","MME_POOL","0",2331,6493,7,0,22,500,2050,1,"620","1",,,,,"LOS OLIVOS",,0
2050,"TIAHUANACO","TIAHUANACO1",-12.0258,-76.9905,85,50,,0.0700,"|","MME_POOL","0",63023,9491,7,1,15,134,2322,1,"565","1",,,,,"SAN JUAN DE LURIGANCHO",,0
2050,"TIAHUANACO","TIAHUANACO2",-12.0258,-76.9905,170,50,,0.0700,"|","MME_POOL","0",63023,9492,7,1,15,132,2322,1,"585","1",,,,,"SAN JUAN DE LURIGANCHO",,0
2050,"TIAHUANACO","TIAHUANACO3",-12.0258,-76.9905,250,50,,0.0700,"|","MME_POOL","0",63023,9493,7,2,15,133,2322,1,"735","1",,,,,"SAN JUAN DE LURIGANCHO",,0
2050,"TIERRA_ROJA","TIERRA_ROJA1",-11.8310,-77.0842,280,50,,0.0700,"|","MME_POOL","0",0,9021,6,2,22,16,2040,1,"68","No_Creado",,,,,"CARABAYLLO",,
2050,"TIERRA_ROJA","TIERRA_ROJA2",-11.8310,-77.0842,70,50,,0.0700,"|","MME_POOL","0",0,9022,6,1,22,17,2040,1,"820","No_Creado",,,,,"CARABAYLLO",,
2050,"TIERRA_ROJA","TIERRA_ROJA3",-11.8310,-77.0842,170,50,,0.0700,"|","MME_POOL","0",0,9023,6,4,22,15,2040,1,"12","No_Creado",,,,,"CARABAYLLO",,
2050,"TIMORAN","TIMORAN1",-12.1638,-76.9787,310,50,,0.0700,"|","MME_POOL","0",1541,5411,8,0,17,169,2331,1,"720","1",,,,,"SAN JUAN DE MIRAFLORES",,0
