"UARFCN","SITE_name","SITE_CODE","name","LAT_SITE","LON_SITE","AZ","BW","RD","Expr1","BSC_RNC_MME_NAME","RncId","WbtsId","LcrId","TE","TM","ALT","PriScrCode","LAC","RAC","rootSeqIndex","AdminCellState","WCelState"
9768,"VILCABAMBA","LI01606","VILCABAMBA 1-C3",-12.1953,-76.9843,330,40,0.0600,"|","RNC04NMA",19,21954,6788,6.0000,0.0000,21.0000,170,2502,237,0,"No_Creado",999
9768,"VIGIL","LI00437","VIGIL 3-C3",-12.0555,-77.0569,180,40,0.0600,"|","RNC02NLV",8,1437,5329,5.0000,0.0000,20.0000,366,2306,170,0,"No_Creado",999
9768,"VIGIL","LI00437","VIGIL 2-C3",-12.0555,-77.0569,80,40,0.0600,"|","RNC02NLV",8,1437,5328,5.0000,0.0000,20.0000,365,2306,170,0,"No_Creado",999
9768,"VIGIL","LI00437","VIGIL 1-C3",-12.0555,-77.0569,310,40,0.0600,"|","RNC02NLV",8,1437,5324,7.0000,0.0000,20.0000,410,2306,170,0,"No_Creado",999
9768,"UNIVERSITARIA","LI00329","UNIVERSITARIA 1-C3",-11.9957,-77.0841,340,40,0.0600,"|","RNC06NLV",55,28919,8919,4.0000,0.0000,19.0000,237,2050,157,0,"No_Creado",999
9768,"VILELA","LI01206","VILELA 3-C3",-10.7458,-77.7543,170,40,0.0600,"|","RNC04NSI",46,10280,10360,6.0000,0.0000,26.0000,82,2340,210,0," 1",0
9768,"VILLA_EL_SALVADOR2_II","LI00701","VILLA_EL_SALVADOR2_II 1-C3",-12.2059,-76.9338,350,40,0.0600,"|","RNC04NMA",19,1560,6625,8.0000,0.0000,36.0000,44,2502,237,0,"No_Creado",999
9768,"VINA_ALTA","LI04719","VINA_ALTA 3-C3",-12.0938,-76.9461,200,40,0.0600,"|","RNC01NSI",33,17590,17670,8.0000,0.0000,22.5000,235,2510,100,0,"No_Creado",999
9768,"VILLA_LAPALMA","LI00923","VILLA_LAPALMA 3-C3",-11.9298,-77.0420,260,40,0.0600,"|","RNC05NLV",54,28029,8038,8.0000,0.0000,23.0000,288,2040,154,0,"No_Creado",999
9768,"VILLA_LAPALMA","LI00923","VILLA_LAPALMA 2-C3",-11.9298,-77.0420,110,40,0.0600,"|","RNC05NLV",54,28029,8037,2.0000,0.0000,23.0000,179,2040,154,0,"No_Creado",999
