"BAND","name","LAT_SITE","LON_SITE","AZ","BW","RD","CELL-ID","BSCId","BSC_NAME","BCFId","BTSId","TRXId","initialFrequency","preferredBcchMark","status","hoppingSequenceNumber1","bsIdentityCodeBCC","bsIdentityCodeNCC","BTS_State","TRX_STATE","LAC","rac","REFARMING"
1900,"FLEXI_BADANI 4",-12.0829,-77.0855,350,70,0.1100,11931,249333,"BSC01NMA",365,365,,668,1,"no creado",,,,,,1116,88,
1900,"FLEXI_BADANI 5",-12.0829,-77.0855,110,70,0.1100,11932,249333,"BSC01NMA",365,366,,670,1,"no creado",,,,,,1116,88,
1900,"FLEXI_BADANI 6",-12.0829,-77.0855,260,70,0.1100,11933,249333,"BSC01NMA",365,367,,672,1,"no creado",,,,,,1116,88,
1900,"FLEXI_ESTADIO_NACIONAL 3",-12.0674,-77.0344,205,70,0.1100,19331,365581,"BSC03NLV",311,311,,616,1,"no creado",,,,,,1128,128,
1900,"FLEXI_ESTADIO_NACIONAL 4",-12.0674,-77.0344,15,70,0.1100,19361,365581,"BSC03NLV",311,314,,668,1,"no creado",,,,,,1128,128,
1900,"FLEXI_SAN_DIEGO3 4",-11.9466,-77.0863,270,70,0.1100,19271,397196,"BSC03NMA",379,379,,673,1,"no creado",,,,,,1134,134,
1900,"FLORA_TRISTAN_NEXTEL 4",-12.0677,-76.9447,350,70,0.1100,14931,363922,"BSC02NLV",499,499,,614,1,"no creado",,,,,,1125,125,
1900,"FLORA_TRISTAN_NEXTEL 5",-12.0677,-76.9447,120,70,0.1100,14932,363922,"BSC02NLV",499,500,,669,1,"no creado",,,,,,1125,125,
1900,"FLORA_TRISTAN_NEXTEL 6",-12.0677,-76.9447,205,70,0.1100,14933,363922,"BSC02NLV",499,501,,672,1,"no creado",,,,,,1125,125,
1900,"FLORES 4",-12.0053,-77.0058,20,70,0.1100,61118,363922,"BSC02NLV",856,859,,612,1,"no creado",,,,,,1140,95,
1900,"FLORES 5",-12.0053,-77.0058,150,70,0.1100,61119,363922,"BSC02NLV",856,860,,616,1,"no creado",,,,,,1140,95,
1900,"FLORES 6",-12.0053,-77.0058,250,70,0.1100,61120,363922,"BSC02NLV",856,861,,668,1,"no creado",,,,,,1140,95,
1900,"FONTANA 4",-12.0729,-76.9416,300,70,0.1100,14831,363922,"BSC02NLV",490,490,,670,1,"no creado",,,,,,1125,125,
1900,"FONTANA 5",-12.0729,-76.9416,40,70,0.1100,14832,363922,"BSC02NLV",490,491,,614,1,"no creado",,,,,,1125,125,
1900,"FONTANA 6",-12.0729,-76.9416,130,70,0.1100,14833,363922,"BSC02NLV",490,492,,673,1,"no creado",,,,,,1125,125,
1900,"FORTALEZA 4",-12.0312,-76.9435,315,70,0.1100,10801,363922,"BSC02NLV",181,184,,613,1,"no creado",,,,,,1126,126,
1900,"FORTALEZA 5",-12.0312,-76.9435,90,70,0.1100,10802,363922,"BSC02NLV",181,185,,668,1,"no creado",,,,,,1126,126,
1900,"FORTALEZA 6",-12.0312,-76.9435,200,70,0.1100,10803,363922,"BSC02NLV",181,186,,615,1,"no creado",,,,,,1126,126,
1900,"FRAGATAS 4",-12.1676,-76.9946,330,70,0.1100,17210,363921,"BSC01NLV",1299,1299,,673,1,"no creado",,,,,,1122,122,
1900,"FRAGATAS 5",-12.1676,-76.9946,150,70,0.1100,17212,363921,"BSC01NLV",1299,1300,,615,1,"no creado",,,,,,1122,122,
1900,"FRAGATAS 6",-12.1676,-76.9946,240,70,0.1100,17213,363921,"BSC01NLV",1299,1301,,671,1,"no creado",,,,,,1122,122,
1900,"GALIAS 4",-11.9648,-76.9846,330,70,0.1100,61184,363922,"BSC02NLV",862,865,,616,1,"no creado",,,,,,1140,95,
1900,"GALIAS 5",-11.9648,-76.9846,30,70,0.1100,61185,363922,"BSC02NLV",862,866,,668,1,"no creado",,,,,,1140,95,
1900,"GALIAS 6",-11.9648,-76.9846,240,70,0.1100,61186,363922,"BSC02NLV",862,867,,613,1,"no creado",,,,,,1140,95,
1900,"GAMBETA_BAJA 4",-12.0430,-77.1147,310,70,0.1100,15571,249333,"BSC01NMA",661,661,,612,1,"no creado",,,,,,1115,87,
1900,"GAMBETA_BAJA 5",-12.0430,-77.1147,100,70,0.1100,15572,249333,"BSC01NMA",661,662,,669,1,"no creado",,,,,,1115,87,
1900,"GAMBETA_BAJA 6",-12.0430,-77.1147,210,70,0.1100,15573,249333,"BSC01NMA",661,663,,616,1,"no creado",,,,,,1115,87,
1900,"GAMBETA_NEXTEL 4",-11.9569,-77.1271,335,70,0.1100,398,397196,"BSC03NMA",532,532,,616,1,"no creado",,,,,,1133,133,
1900,"GAMBETA_NEXTEL 5",-11.9569,-77.1271,160,70,0.1100,399,397196,"BSC03NMA",532,533,,669,1,"no creado",,,,,,1133,133,
1900,"GAMBETA_NEXTEL 6",-11.9569,-77.1271,260,70,0.1100,63820,397196,"BSC03NMA",532,534,,672,1,"no creado",,,,,,1133,133,
1900,"GARDLAND 4",-12.0130,-77.0529,310,70,0.1100,14201,397196,"BSC03NMA",985,985,,615,1,"no creado",,,,,,1137,89,
1900,"GARDLAND 5",-12.0130,-77.0529,90,70,0.1100,14202,397196,"BSC03NMA",985,986,,671,1,"no creado",,,,,,1137,89,
1900,"GARDLAND 6",-12.0130,-77.0529,210,70,0.1100,14203,397196,"BSC03NMA",985,987,9,671,1,"creado",41,2,4,3,3,1137,89,
1900,"GARDLAND 6",-12.0130,-77.0529,210,70,0.1100,14203,397196,"BSC03NMA",985,987,10,669,0,"creado",41,2,4,3,3,1137,89,
1900,"GARDLAND 6",-12.0130,-77.0529,210,70,0.1100,14203,397196,"BSC03NMA",985,987,11,673,0,"creado",41,2,4,3,3,1137,89,
